(
(     0.0	57.03989)
(  1800.0	46.33073)
(  3600.0	33.97174)
(  5400.0	30.99525)
(  7200.0	29.99131)
(  9000.0	51.15673)
( 10800.0	45.59265)
( 12600.0	52.39822)
( 14400.0	52.47506)
( 16200.0	44.78261)
( 18000.0	44.59116)
( 19800.0	40.71301)
( 21600.0	35.40783)
( 23400.0	34.89196)
( 25200.0	40.88928)
( 27000.0	41.90575)
( 28800.0	40.16255)
( 30600.0	35.94493)
( 32400.0	45.24270)
( 34200.0	28.51116)
( 36000.0	10.42115)
( 37800.0	 6.50554)
( 39600.0	34.03632)
( 41400.0	40.02241)
( 43200.0	32.53144)
( 45000.0	54.61882)
( 46800.0	38.93311)
( 48600.0	37.63599)
( 50400.0	20.31493)
( 52200.0	36.35929)
( 54000.0	25.29152)
( 55800.0	 7.93858)
( 57600.0	16.15833)
( 59400.0	13.79948)
( 61200.0	15.61112)
( 63000.0	65.14226)
( 64800.0	53.48127)
( 66600.0	64.57523)
( 68400.0	62.83076)
( 70200.0	52.69407)
( 72000.0	13.23959)
( 73800.0	55.75612)
( 75600.0	161.61037)
( 77400.0	131.12182)
( 79200.0	180.04661)
( 81000.0	154.33114)
( 82800.0	148.98156)
( 84600.0	86.02739)
( 86400.0	86.41128)
( 88200.0	77.54732)
( 90000.0	77.93283)
( 91800.0	62.32308)
( 93600.0	80.35684)
( 95400.0	63.15589)
( 97200.0	80.61091)
( 99000.0	76.67731)
(100800.0	72.43331)
(102600.0	72.13772)
(104400.0	80.88529)
(106200.0	77.71666)
(108000.0	69.30388)
(109800.0	72.53322)
(111600.0	73.86196)
(113400.0	82.94795)
(115200.0	109.32317)
(117000.0	147.33013)
(118800.0	191.56933)
(120600.0	208.93485)
(122400.0	215.28581)
(124200.0	203.51265)
(126000.0	157.98397)
(127800.0	147.39930)
(129600.0	88.31008)
(131400.0	100.71466)
(133200.0	73.70515)
(135000.0	43.87024)
(136800.0	75.13649)
(138600.0	62.39058)
(140400.0	43.27604)
(142200.0	11.56958)
(144000.0	20.23421)
(145800.0	 4.34932)
(147600.0	 9.55001)
(149400.0	11.27203)
(151200.0	25.33493)
(153000.0	72.42143)
(154800.0	53.22504)
(156600.0	44.96991)
(158400.0	85.80548)
(160200.0	86.22109)
(162000.0	78.80355)
(163800.0	67.44143)
(165600.0	65.87797)
(167400.0	130.27246)
(169200.0	260.16003)
(171000.0	211.52358)
)
