(
(     0.0	-0.73018)
(  1800.0	-0.11449)
(  3600.0	 0.52864)
(  5400.0	-0.26850)
(  7200.0	 0.77283)
(  9000.0	 0.83114)
( 10800.0	 1.01455)
( 12600.0	 0.22129)
( 14400.0	 1.34654)
( 16200.0	 1.45543)
( 18000.0	 0.83025)
( 19800.0	 1.35653)
( 21600.0	 2.23926)
( 23400.0	 3.32179)
( 25200.0	 4.91558)
( 27000.0	 3.88361)
( 28800.0	 1.48585)
( 30600.0	-1.74415)
( 32400.0	-4.17126)
( 34200.0	-4.01192)
( 36000.0	-2.47313)
( 37800.0	-1.81097)
( 39600.0	-9.27888)
( 41400.0	-10.68732)
( 43200.0	-8.19311)
( 45000.0	-13.03790)
( 46800.0	-8.74934)
( 48600.0	-9.60677)
( 50400.0	-4.45825)
( 52200.0	-7.82355)
( 54000.0	-5.08597)
( 55800.0	-1.95514)
( 57600.0	-3.97376)
( 59400.0	-3.35977)
( 61200.0	-4.19077)
( 63000.0	-12.76394)
( 64800.0	-5.73856)
( 66600.0	-4.70736)
( 68400.0	-1.11638)
( 70200.0	-0.51004)
( 72000.0	-1.15655)
( 73800.0	-5.44669)
( 75600.0	-9.97808)
( 77400.0	 7.98993)
( 79200.0	 2.46207)
( 81000.0	 7.49639)
( 82800.0	13.46063)
( 84600.0	 9.02571)
( 86400.0	11.71218)
( 88200.0	10.21285)
( 90000.0	 7.46323)
( 91800.0	 6.21752)
( 93600.0	 9.50029)
( 95400.0	 9.02764)
( 97200.0	11.63109)
( 99000.0	10.25915)
(100800.0	10.05572)
(102600.0	11.35768)
(104400.0	12.55815)
(106200.0	13.03581)
(108000.0	12.05667)
(109800.0	12.45285)
(111600.0	 9.97130)
(113400.0	 9.48338)
(115200.0	 6.73463)
(117000.0	 4.34066)
(118800.0	 0.71262)
(120600.0	-2.74370)
(122400.0	-7.35883)
(124200.0	-12.63749)
(126000.0	-13.39979)
(127800.0	-15.54384)
(129600.0	-11.13069)
(131400.0	-15.09077)
(133200.0	-12.41426)
(135000.0	-8.52692)
(136800.0	-17.01691)
(138600.0	-15.34635)
(140400.0	-11.24117)
(142200.0	-3.13724)
(144000.0	-5.56449)
(145800.0	-1.19060)
(147600.0	-2.95627)
(149400.0	-2.68174)
(151200.0	-4.15335)
(153000.0	-4.82583)
(154800.0	-2.14940)
(156600.0	-1.34741)
(158400.0	-0.21744)
(160200.0	-0.74893)
(162000.0	 1.00452)
(163800.0	 1.35069)
(165600.0	 1.93563)
(167400.0	-4.62976)
(169200.0	-8.62419)
(171000.0	-3.70199)
)
