(
(     0.0	  302.27)
(  1800.0	  302.07)
(  3600.0	  301.81)
(  5400.0	  302.08)
(  7200.0	  301.58)
(  9000.0	  301.67)
( 10800.0	  301.53)
( 12600.0	  301.71)
( 14400.0	  301.33)
( 16200.0	  301.17)
( 18000.0	  301.41)
( 19800.0	  301.18)
( 21600.0	  300.69)
( 23400.0	  300.28)
( 25200.0	  299.80)
( 27000.0	  300.28)
( 28800.0	  301.21)
( 30600.0	  302.90)
( 32400.0	  303.77)
( 34200.0	  304.89)
( 36000.0	  306.85)
( 37800.0	  307.95)
( 39600.0	  308.83)
( 41400.0	  309.72)
( 43200.0	  310.40)
( 45000.0	  310.78)
( 46800.0	  311.74)
( 48600.0	  312.22)
( 50400.0	  312.28)
( 52200.0	  312.82)
( 54000.0	  313.08)
( 55800.0	  312.86)
( 57600.0	  312.00)
( 59400.0	  311.31)
( 61200.0	  309.97)
( 63000.0	  308.45)
( 64800.0	  306.61)
( 66600.0	  305.64)
( 68400.0	  304.13)
( 70200.0	  303.84)
( 72000.0	  304.94)
( 73800.0	  305.81)
( 75600.0	  304.74)
( 77400.0	  301.14)
( 79200.0	  301.28)
( 81000.0	  300.46)
( 82800.0	  299.38)
( 84600.0	  298.93)
( 86400.0	  297.99)
( 88200.0	  298.53)
( 90000.0	  299.28)
( 91800.0	  299.44)
( 93600.0	  298.71)
( 95400.0	  298.47)
( 97200.0	  298.28)
( 99000.0	  298.51)
(100800.0	  298.33)
(102600.0	  298.22)
(104400.0	  298.03)
(106200.0	  297.68)
(108000.0	  297.32)
(109800.0	  297.26)
(111600.0	  298.01)
(113400.0	  298.16)
(115200.0	  299.53)
(117000.0	  300.67)
(118800.0	  301.72)
(120600.0	  302.44)
(122400.0	  303.58)
(124200.0	  304.88)
(126000.0	  306.09)
(127800.0	  306.84)
(129600.0	  307.93)
(131400.0	  308.79)
(133200.0	  309.76)
(135000.0	  310.69)
(136800.0	  311.34)
(138600.0	  311.99)
(140400.0	  312.38)
(142200.0	  312.66)
(144000.0	  312.69)
(145800.0	  312.65)
(147600.0	  310.90)
(149400.0	  307.87)
(151200.0	  307.13)
(153000.0	  304.63)
(154800.0	  303.19)
(156600.0	  302.71)
(158400.0	  302.17)
(160200.0	  302.30)
(162000.0	  301.65)
(163800.0	  301.43)
(165600.0	  301.08)
(167400.0	  302.99)
(169200.0	  303.07)
(171000.0	  302.39)
)

