(
(     0.0	    1.93)
(  1800.0	    1.57)
(  3600.0	    0.90)
(  5400.0	    0.78)
(  7200.0	    0.55)
(  9000.0	    1.64)
( 10800.0	    1.44)
( 12600.0	    1.60)
( 14400.0	    1.40)
( 16200.0	    1.01)
( 18000.0	    1.23)
( 19800.0	    1.02)
( 21600.0	    0.62)
( 23400.0	    0.60)
( 25200.0	    0.62)
( 27000.0	    0.72)
( 28800.0	    0.68)
( 30600.0	    0.66)
( 32400.0	    1.35)
( 34200.0	    1.22)
( 36000.0	    0.91)
( 37800.0	    0.76)
( 39600.0	    1.70)
( 41400.0	    1.80)
( 43200.0	    1.55)
( 45000.0	    1.97)
( 46800.0	    1.54)
( 48600.0	    1.63)
( 50400.0	    1.08)
( 52200.0	    1.43)
( 54000.0	    1.13)
( 55800.0	    0.70)
( 57600.0	    1.04)
( 59400.0	    0.96)
( 61200.0	    1.13)
( 63000.0	    2.15)
( 64800.0	    1.33)
( 66600.0	    1.11)
( 68400.0	    0.61)
( 70200.0	    0.61)
( 72000.0	    0.50)
( 73800.0	    1.35)
( 75600.0	    3.15)
( 77400.0	    3.61)
( 79200.0	    4.12)
( 81000.0	    3.22)
( 82800.0	    2.80)
( 84600.0	    0.82)
( 86400.0	    0.68)
( 88200.0	    0.84)
( 90000.0	    0.77)
( 91800.0	    0.55)
( 93600.0	    0.75)
( 95400.0	    0.53)
( 97200.0	    0.96)
( 99000.0	    0.88)
(100800.0	    0.72)
(102600.0	    0.94)
(104400.0	    1.04)
(106200.0	    0.91)
(108000.0	    0.51)
(109800.0	    0.56)
(111600.0	    0.53)
(113400.0	    0.47)
(115200.0	    0.74)
(117000.0	    1.35)
(118800.0	    2.03)
(120600.0	    2.33)
(122400.0	    2.30)
(124200.0	    2.35)
(126000.0	    2.02)
(127800.0	    2.20)
(129600.0	    1.69)
(131400.0	    2.02)
(133200.0	    1.78)
(135000.0	    1.46)
(136800.0	    2.10)
(138600.0	    1.97)
(140400.0	    1.68)
(142200.0	    0.87)
(144000.0	    1.17)
(145800.0	    0.54)
(147600.0	    0.90)
(149400.0	    0.91)
(151200.0	    1.10)
(153000.0	    0.75)
(154800.0	    0.67)
(156600.0	    0.79)
(158400.0	    0.93)
(160200.0	    0.90)
(162000.0	    0.94)
(163800.0	    0.60)
(165600.0	    0.35)
(167400.0	    1.86)
(169200.0	    3.38)
(171000.0	    2.55)
)
