(
(     0.0	  199.34)
(  1800.0	  201.94)
(  3600.0	  201.61)
(  5400.0	  204.42)
(  7200.0	  208.04)
(  9000.0	  199.00)
( 10800.0	  202.65)
( 12600.0	  200.02)
( 14400.0	  203.64)
( 16200.0	  199.43)
( 18000.0	  198.88)
( 19800.0	  201.23)
( 21600.0	  196.96)
( 23400.0	  214.58)
( 25200.0	  214.65)
( 27000.0	  195.19)
( 28800.0	  202.55)
( 30600.0	  191.83)
( 32400.0	  182.74)
( 34200.0	  183.78)
( 36000.0	  181.63)
( 37800.0	  223.15)
( 39600.0	  198.49)
( 41400.0	  201.52)
( 43200.0	  200.22)
( 45000.0	  203.60)
( 46800.0	  209.15)
( 48600.0	  198.02)
( 50400.0	  197.52)
( 52200.0	  213.03)
( 54000.0	  207.81)
( 55800.0	  217.82)
( 57600.0	  238.86)
( 59400.0	  249.71)
( 61200.0	  244.54)
( 63000.0	  251.96)
( 64800.0	  256.64)
( 66600.0	  256.33)
( 68400.0	  232.21)
( 70200.0	  237.94)
( 72000.0	  255.10)
( 73800.0	  247.04)
( 75600.0	  248.13)
( 77400.0	  249.93)
( 79200.0	  251.84)
( 81000.0	  252.43)
( 82800.0	  253.96)
( 84600.0	  254.00)
( 86400.0	  233.98)
( 88200.0	  254.33)
( 90000.0	  252.30)
( 91800.0	  241.98)
( 93600.0	  228.25)
( 95400.0	  211.24)
( 97200.0	  199.37)
( 99000.0	  199.27)
(100800.0	  205.02)
(102600.0	  197.98)
(104400.0	  196.90)
(106200.0	  195.13)
(108000.0	  216.21)
(109800.0	  212.44)
(111600.0	  220.03)
(113400.0	  241.62)
(115200.0	  250.00)
(117000.0	  247.32)
(118800.0	  248.36)
(120600.0	  251.00)
(122400.0	  247.26)
(124200.0	  247.89)
(126000.0	  246.50)
(127800.0	  247.78)
(129600.0	  245.49)
(131400.0	  246.08)
(133200.0	  245.68)
(135000.0	  223.38)
(136800.0	  200.98)
(138600.0	  202.28)
(140400.0	  201.02)
(142200.0	  217.76)
(144000.0	  225.94)
(145800.0	  209.04)
(147600.0	  199.42)
(149400.0	  202.75)
(151200.0	  199.26)
(153000.0	  198.40)
(154800.0	  191.97)
(156600.0	  193.36)
(158400.0	  192.66)
(160200.0	  193.37)
(162000.0	  194.23)
(163800.0	  195.27)
(165600.0	  201.63)
(167400.0	  198.68)
(169200.0	  199.26)
(171000.0	  199.01)
)
